date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-07-29,Y,东证期货,64947,1065,74020,2743,4
2026-07-29,Y,广发期货,42309,-311,88549,1234,5
2026-07-29,Y,中信期货,59250,-1185,65082,3014,6
2026-07-29,Y,海通期货,53710,-742,38215,-386,7
2026-07-29,Y,摩根大通,47896,-5603,31183,1247,8
2026-07-29,Y,招商期货,31525,1288,29488,859,9
2026-07-29,Y,宏源期货,19722,449,38718,650,10
2026-07-29,Y,永安期货,29102,624,27115,-537,11
2026-07-29,Y,中信建投,24084,0,24257,62,12
2026-07-29,Y,乾坤期货,32871,-4461,13545,2715,13
2026-07-29,Y,华泰期货,23977,1141,20520,374,14
2026-07-29,Y,南华期货,24965,1938,19331,1390,15
2026-07-29,Y,一德期货,25614,476,9823,-1821,16
2026-07-29,Y,银河期货,21062,792,10260,313,17
2026-07-29,Y,中泰期货,19610,37,11315,248,18
2026-07-29,Y,建信期货,16861,991,13130,-7,19
2026-07-29,Y,西部期货,24144,67,0,0,20
2026-07-30,OI,中信建投,53907,-2828,58069,-2790,1
2026-07-30,OI,中信期货,56918,409,47629,-541,2
2026-07-30,OI,中粮期货,21043,-551,83295,-1791,3
2026-07-30,OI,国投安信,22008,-96,68669,-612,4
2026-07-30,OI,华泰期货,24085,-40,32909,-322,5
2026-07-30,OI,国泰君安,31318,-3252,19068,-1765,6
2026-07-30,OI,乾坤期货,49369,-914,0,0,7
2026-07-30,OI,浙商期货,12786,322,33456,-1030,8
2026-07-30,OI,东证期货,23987,-1415,20769,-2015,9
2026-07-30,OI,摩根大通,39273,-590,2014,564,10
2026-07-30,OI,南华期货,12638,-28,18580,-2,11
2026-07-30,OI,一德期货,21997,-1224,8356,1291,12
2026-07-30,OI,五矿期货,14641,212,15153,577,13
2026-07-30,OI,银河期货,10883,326,7662,33,14
2026-07-30,OI,广发期货,8231,-480,6545,200,15
2026-07-30,OI,中投天琪,12786,-418,0,0,16
2026-07-30,OI,鲁证期货,5276,55,6746,227,17
2026-07-30,OI,瑞银期货,10355,-202,0,0,18
2026-07-30,OI,创元期货,4545,163,2960,296,19
2026-07-30,OI,国富期货,2300,-187,4013,148,20
2026-07-30,P,国泰君安,95560,1337,76173,95,1
2026-07-30,P,东证期货,45425,-3126,59828,832,2
2026-07-30,P,中信期货,35925,4437,64919,3090,3
2026-07-30,P,一德期货,50542,-1679,40503,51,4
